ReachName,BedSlope,Manning n,BottomWidth,SideSlope
Pequest - 51,0.001428569,0.04,4,0.5
Pequest - 46.5,0.000222221,0.04,4,0.5
Pequest - 44.5,0.004000007,0.04,4,0.5
Pequest - 35.5,0.000999999,0.03,3,0.5
Pequest - 19.5,0.00025,0.03,8,0.5
Pequest - 17,0.001600003,0.03,5,0.5
Pequest - 15.5,0.000666663,0.03,6,0.5
Pequest - 14.5,0.008993681,0.03,9,0.5
Pequest - 14,1.26E-05,0.04,16,0.5
Pequest - 13,0.008999999,0.04,8,0.5
Pequest - 12,0.005000002,0.04,11,0.5
Pequest - 10.5,0.000666669,0.04,10,0.5
Pequest - 9,0.003999998,0.04,8,0.3
Pequest - 7,0.006000001,0.04,17,0.3
Pequest - 5.5,0.001999996,0.04,16,0.2
Pequest - 5,0.012000011,0.04,12,0.2
Pequest - 4,0.001976318,0.04,19,0.5
Pequest - 3,2.37E-05,0.04,15,0.5
Pequest - 2.5,0.014000001,0.04,15,0.5
Pequest - 1.5,0.005000002,0.04,16,0.5
Pequest - 0.5,0.000999995,0.04,18,0.5
Pequest - 0,0.028000002,0.04,16,0.5
