"ReachName","BedSlope","Manning.n","BottomWidth","SideSlope","a","b","c","d"
"Pequest - 51",0.001428569,0.04,4,0.5,0.519387297288847,0.256925109594539,0.595224967967233,0.436710402726577
"Pequest - 46.5",0.000222221,0.04,4,0.5,0.260163247034067,0.256925098996563,0.893588495776862,0.436710369169904
"Pequest - 44.5",0.004000007,0.04,4,0.5,0.761426198607596,0.256925116380489,0.475380827209259,0.436710354312333
"Pequest - 35.5",0.000999999,0.03,3,0.5,0.572550838277318,0.254222676150832,0.62905242874915,0.424553479940201
"Pequest - 19.5",0.00025,0.03,8,0.5,0.314422060412242,0.268525941244681,0.562589377495726,0.473434432468967
"Pequest - 17",0.001600003,0.03,5,0.5,0.658509813612912,0.259785867207283,0.464842971452052,0.447458628960838
"Pequest - 15.5",0.000666663,0.03,6,0.5,0.467614842996248,0.262708060052594,0.519343483077937,0.457045732210241
"Pequest - 14.5",0.008993681,0.03,9,0.5,1.13912762407883,0.271363128444767,0.222891033175119,0.480493407428113
"Pequest - 14",1.26e-05,0.04,16,0.5,0.0769495494318831,0.289029729741019,0.919303131634169,0.515947558643048
"Pequest - 13",0.008999999,0.04,8,0.5,0.944759181029238,0.268525899060615,0.276018660873482,0.473434365303616
"Pequest - 12",0.005000002,0.04,11,0.5,0.714732937182721,0.276821387914395,0.257855215940512,0.492811434714568
"Pequest - 10.5",0.000666669,0.04,10,0.5,0.351375565618206,0.274131063493502,0.449262056391992,0.486926731630748
"Pequest - 9",0.003999998,0.04,8,0.3,0.665376854432987,0.261614448511698,0.346725954755105,0.444080060374918
"Pequest - 7",0.006000001,0.04,17,0.3,0.675337828377018,0.277969434939854,0.202296543924222,0.485904361627299
"Pequest - 5.5",0.001999996,0.04,16,0.2,0.446689879096581,0.267616257772707,0.290089389171511,0.458370325780858
"Pequest - 5",0.012000011,0.04,12,0.2,0.900769236390206,0.262451055663529,0.226381494760522,0.44361467099667
"Pequest - 4",0.001976318,0.04,19,0.5,0.439902819869157,0.295395100648042,0.219629961633124,0.526186624832723
"Pequest - 3",2.37e-05,0.04,15,0.5,0.0976403654644772,0.286753244605873,0.811421288048693,0.512012360375036
"Pequest - 2.5",0.014000001,0.04,15,0.5,0.950534405597879,0.286753357564498,0.158400334045594,0.512012350546624
"Pequest - 1.5",0.005000002,0.04,16,0.5,0.645608806474784,0.289029790569838,0.196375642012758,0.515947741005115
"Pequest - 0.5",0.000999995,0.04,18,0.5,0.351916860568648,0.293347932760505,0.273308880420723,0.523009827896256
"Pequest - 0",0.028000002,0.04,16,0.5,1.19107531721146,0.289029750794458,0.125914373007941,0.515947560959871
